m, m_max, m_max_0, ef_construction, ml, select_neighbor_mode, total_time_for_building_graph, total_time_for_query, total_distance_count_for_building_graph, total_distance_count_for_query, recall
5, 20, 20, 10, 1, simple, 31731, 22, 120303007, 133304, 0.9388, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 20, 25, 10, 1, simple, 31271, 35, 120359452, 148462, 0.9598, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 20, 30, 10, 1, simple, 31377, 30, 120388481, 161998, 0.9701, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 20, 35, 10, 1, simple, 32556, 32, 120407210, 174442, 0.9776, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 20, 40, 10, 1, simple, 31912, 34, 120417573, 186028, 0.9837, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 20, 45, 10, 1, simple, 32465, 38, 120426928, 196102, 0.987, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 25, 5, 10, 1, simple, 31064, 12, 119511643, 71028, 0.4476, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 25, 10, 10, 1, simple, 30237, 18, 120033857, 100230, 0.7946, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 25, 15, 10, 1, simple, 30835, 22, 120263009, 122662, 0.9005, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 25, 20, 10, 1, simple, 30813, 24, 120371682, 140252, 0.9385, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 25, 25, 10, 1, simple, 30202, 28, 120431833, 155228, 0.9598, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 25, 30, 10, 1, simple, 30791, 30, 120460287, 168876, 0.9701, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 25, 35, 10, 1, simple, 31545, 32, 120478207, 181250, 0.9776, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 25, 40, 10, 1, simple, 32561, 34, 120490980, 192812, 0.9837, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 25, 45, 10, 1, simple, 32868, 38, 120500047, 202844, 0.987, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 30, 5, 10, 1, simple, 30343, 12, 119550193, 77884, 0.4435, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 30, 10, 10, 1, simple, 31579, 19, 120069588, 107180, 0.787, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 30, 15, 10, 1, simple, 31158, 21, 120300739, 129518, 0.8917, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 30, 20, 10, 1, simple, 32330, 34, 120412363, 147252, 0.9295, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 30, 25, 10, 1, simple, 31958, 30, 120468625, 162172, 0.9504, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 30, 30, 10, 1, simple, 32180, 41, 120498980, 176004, 0.9606, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 30, 35, 10, 1, simple, 31829, 31, 120516623, 188406, 0.9679, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 30, 40, 10, 1, simple, 32902, 37, 120528342, 200000, 0.974, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 30, 45, 10, 1, simple, 33371, 37, 120537489, 209874, 0.9773, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 35, 5, 10, 1, simple, 31039, 14, 119573981, 84192, 0.4487, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
5, 35, 10, 10, 1, simple, 32188, 19, 120094540, 113344, 0.786, 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
