m, m_max,m_max_0,ef_construction,ml,select_neighbor_mode,total_time_for_building_graph,total_time_for_query,total_distance_count_for_building_graph,total_distance_count_for_query,recall,connectiveness
5, 5, 5, 10, 1, simple, 362, 8, 2119676, 40800, 0.3054, 0.169019 0.231286 0.323588 0.452693 0.593583 0.716923 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 5, 30, 1, simple, 558, 9, 3310164, 46902, 0.4162, 0.260358 0.343225 0.424717 0.563077 0.634225 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 5, 50, 1, simple, 770, 10, 4349140, 48852, 0.4771, 0.316319 0.390985 0.465394 0.573847 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 5, 70, 1, simple, 930, 10, 5309550, 49468, 0.5042, 0.358521 0.418997 0.488981 0.584231 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 5, 90, 1, simple, 1082, 10, 6168718, 49914, 0.5145, 0.377682 0.436384 0.502258 0.585385 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 5, 110, 1, simple, 1232, 9, 6992566, 49986, 0.5262, 0.394763 0.452537 0.507342 0.585770 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 10, 10, 1, simple, 431, 15, 2697104, 77400, 0.745, 0.375357 0.231286 0.323588 0.452693 0.593583 0.716923 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 10, 30, 1, simple, 744, 15, 4501561, 80828, 0.8366, 0.553712 0.343225 0.424717 0.563077 0.634225 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 10, 50, 1, simple, 1013, 15, 5994739, 81570, 0.8575, 0.598466 0.390985 0.465394 0.573847 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 10, 70, 1, simple, 1210, 14, 7355971, 82212, 0.86, 0.616573 0.418997 0.488981 0.584231 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 10, 90, 1, simple, 1524, 16, 8620814, 82628, 0.8647, 0.625256 0.436384 0.502258 0.585385 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 10, 110, 1, simple, 1647, 14, 9796202, 82916, 0.8688, 0.630639 0.452537 0.507342 0.585770 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 15, 10, 1, simple, 461, 17, 2955104, 95548, 0.8488, 0.437281 0.231286 0.323588 0.452693 0.593583 0.716923 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 15, 30, 1, simple, 793, 18, 5007740, 97662, 0.9022, 0.580587 0.343225 0.424717 0.563077 0.634225 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 15, 50, 1, simple, 1081, 17, 6721058, 98406, 0.9127, 0.606991 0.390985 0.465394 0.573847 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 15, 70, 1, simple, 1343, 17, 8275900, 98572, 0.9139, 0.615955 0.418997 0.488981 0.584231 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 15, 90, 1, simple, 1577, 17, 9694190, 98846, 0.9171, 0.619972 0.436384 0.502258 0.585385 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 15, 110, 1, simple, 1768, 17, 11012236, 99010, 0.9182, 0.622140 0.452537 0.507342 0.585770 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 20, 10, 1, simple, 475, 17, 3084728, 105176, 0.8809, 0.457010 0.231286 0.323588 0.452693 0.593583 0.716923 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 20, 30, 1, simple, 822, 18, 5274937, 106252, 0.9236, 0.585460 0.343225 0.424717 0.563077 0.634225 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 20, 50, 1, simple, 1112, 18, 7105044, 107004, 0.9268, 0.605584 0.390985 0.465394 0.573847 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 20, 70, 1, simple, 1397, 18, 8751938, 107210, 0.9277, 0.612760 0.418997 0.488981 0.584231 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 20, 90, 1, simple, 1627, 18, 10246794, 107354, 0.9295, 0.615769 0.436384 0.502258 0.585385 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 20, 110, 1, simple, 1869, 17, 11628802, 107430, 0.9293, 0.617604 0.452537 0.507342 0.585770 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 25, 10, 1, simple, 490, 19, 3149286, 111122, 0.8879, 0.462586 0.231286 0.323588 0.452693 0.593583 0.716923 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 25, 30, 1, simple, 847, 19, 5427434, 111658, 0.9286, 0.587848 0.343225 0.424717 0.563077 0.634225 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 25, 50, 1, simple, 1156, 19, 7323724, 111958, 0.9307, 0.605164 0.390985 0.465394 0.573847 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 25, 70, 1, simple, 1451, 19, 9019356, 112434, 0.9332, 0.611782 0.418997 0.488981 0.584231 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 25, 90, 1, simple, 1675, 18, 10555630, 112522, 0.9354, 0.614234 0.436384 0.502258 0.585385 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 25, 110, 1, simple, 1902, 18, 11971056, 112578, 0.9352, 0.615694 0.452537 0.507342 0.585770 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 30, 10, 1, simple, 466, 18, 3188926, 115048, 0.8984, 0.468413 0.231286 0.323588 0.452693 0.593583 0.716923 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 30, 30, 1, simple, 817, 17, 5520444, 114920, 0.933, 0.588281 0.343225 0.424717 0.563077 0.634225 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 30, 50, 1, simple, 1108, 17, 7457706, 115496, 0.9347, 0.605333 0.390985 0.465394 0.573847 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 30, 70, 1, simple, 1386, 17, 9184128, 115954, 0.9366, 0.611392 0.418997 0.488981 0.584231 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 30, 90, 1, simple, 1663, 18, 10742954, 115950, 0.9378, 0.613783 0.436384 0.502258 0.585385 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 30, 110, 1, simple, 1869, 18, 12177359, 116022, 0.9378, 0.615014 0.452537 0.507342 0.585770 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 35, 10, 1, simple, 468, 18, 3208612, 117950, 0.905, 0.472264 0.231286 0.323588 0.452693 0.593583 0.716923 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 35, 30, 1, simple, 816, 18, 5576852, 117296, 0.9354, 0.588837 0.343225 0.424717 0.563077 0.634225 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 35, 50, 1, simple, 1121, 18, 7541116, 117578, 0.9362, 0.605298 0.390985 0.465394 0.573847 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 35, 70, 1, simple, 1397, 18, 9284374, 117998, 0.9379, 0.611179 0.418997 0.488981 0.584231 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 35, 90, 1, simple, 1648, 18, 10858648, 117990, 0.9391, 0.613555 0.436384 0.502258 0.585385 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 35, 110, 1, simple, 1895, 19, 12304598, 118036, 0.939, 0.614731 0.452537 0.507342 0.585770 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 40, 10, 1, simple, 478, 18, 3225764, 119368, 0.9041, 0.473725 0.231286 0.323588 0.452693 0.593583 0.716923 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 40, 30, 1, simple, 824, 18, 5613004, 118426, 0.9363, 0.589282 0.343225 0.424717 0.563077 0.634225 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 40, 50, 1, simple, 1127, 18, 7596059, 118710, 0.9369, 0.605512 0.390985 0.465394 0.573847 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 40, 70, 1, simple, 1407, 18, 9349855, 119088, 0.9385, 0.611097 0.418997 0.488981 0.584231 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 40, 90, 1, simple, 1659, 18, 10933416, 119090, 0.9398, 0.613435 0.436384 0.502258 0.585385 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 40, 110, 1, simple, 1897, 18, 12386103, 119130, 0.9397, 0.614567 0.452537 0.507342 0.585770 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 45, 10, 1, simple, 476, 18, 3234274, 120648, 0.9057, 0.474167 0.231286 0.323588 0.452693 0.593583 0.716923 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 45, 30, 1, simple, 831, 18, 5633166, 119464, 0.937, 0.589059 0.343225 0.424717 0.563077 0.634225 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 45, 50, 1, simple, 1156, 18, 7627376, 119708, 0.9377, 0.605483 0.390985 0.465394 0.573847 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 45, 70, 1, simple, 1415, 18, 9388950, 120026, 0.9396, 0.611024 0.418997 0.488981 0.584231 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 45, 90, 1, simple, 1651, 18, 10978692, 120038, 0.9408, 0.613303 0.436384 0.502258 0.585385 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 5, 45, 110, 1, simple, 1885, 18, 12435270, 120082, 0.9407, 0.614436 0.452537 0.507342 0.585770 0.636364 0.726153 0.786667 0.800000 0.800000 nan nan nan 
5, 10, 5, 10, 1, simple, 409, 8, 2793663, 48764, 0.3405, 0.256655 0.454266 0.521945 0.610700 0.680238 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 5, 30, 1, simple, 642, 10, 4227850, 53660, 0.4533, 0.332797 0.576952 0.610263 0.655629 0.691086 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 5, 50, 1, simple, 840, 9, 5440955, 55674, 0.4944, 0.377960 0.602172 0.619931 0.660526 0.691086 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 5, 70, 1, simple, 1034, 9, 6527377, 55996, 0.5253, 0.409482 0.611206 0.626470 0.661142 0.694211 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 5, 90, 1, simple, 1205, 9, 7526709, 56728, 0.5465, 0.429582 0.615069 0.628261 0.661142 0.694211 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 5, 110, 1, simple, 1365, 9, 8464863, 56872, 0.5465, 0.446622 0.616445 0.628593 0.661506 0.694211 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 10, 10, 1, simple, 477, 13, 3332223, 82492, 0.752, 0.410805 0.454266 0.521945 0.610700 0.680238 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 10, 30, 1, simple, 790, 13, 5400728, 86862, 0.8384, 0.567552 0.576952 0.610263 0.655629 0.691086 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 10, 50, 1, simple, 1059, 14, 7089637, 88082, 0.8604, 0.605830 0.602172 0.619931 0.660526 0.691086 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 10, 70, 1, simple, 1308, 14, 8600650, 88470, 0.8611, 0.620198 0.611210 0.626470 0.661142 0.694211 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 10, 90, 1, simple, 1532, 14, 10000342, 88860, 0.8667, 0.628067 0.615069 0.628261 0.661142 0.694211 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 10, 110, 1, simple, 1757, 14, 11295401, 89020, 0.87, 0.633002 0.616445 0.628593 0.661506 0.694211 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 15, 10, 1, simple, 507, 15, 3567361, 100544, 0.8557, 0.456853 0.454266 0.521945 0.610700 0.680238 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 15, 30, 1, simple, 846, 16, 5898214, 103808, 0.9078, 0.586415 0.576952 0.610263 0.655629 0.691086 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 15, 50, 1, simple, 1148, 16, 7816085, 104272, 0.911, 0.609841 0.602172 0.619931 0.660526 0.691086 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 15, 70, 1, simple, 1423, 16, 9522149, 104668, 0.9145, 0.617702 0.611206 0.626470 0.661142 0.694211 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 15, 90, 1, simple, 1669, 16, 11073571, 104852, 0.9177, 0.621487 0.615072 0.628261 0.661142 0.694211 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 15, 110, 1, simple, 1910, 16, 12511527, 104908, 0.9178, 0.623508 0.616445 0.628593 0.661506 0.694211 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 20, 10, 1, simple, 523, 17, 3680719, 109702, 0.8786, 0.471473 0.454266 0.521945 0.610700 0.680238 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 20, 30, 1, simple, 887, 17, 6170629, 112002, 0.9251, 0.589433 0.576952 0.610263 0.655629 0.691086 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 20, 50, 1, simple, 1205, 17, 8200496, 113014, 0.9265, 0.608189 0.602172 0.619931 0.660526 0.691086 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 20, 70, 1, simple, 1487, 17, 9997814, 113196, 0.928, 0.614347 0.611206 0.626470 0.661142 0.694211 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 20, 90, 1, simple, 1752, 17, 11625879, 113240, 0.9297, 0.616888 0.615072 0.628261 0.661142 0.694211 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 20, 110, 1, simple, 1990, 17, 13126856, 113302, 0.9293, 0.618437 0.616442 0.628593 0.661506 0.694211 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 25, 10, 1, simple, 521, 17, 3740931, 115084, 0.8895, 0.482506 0.454266 0.521945 0.610700 0.680238 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 25, 30, 1, simple, 911, 18, 6322326, 117374, 0.9277, 0.591612 0.576952 0.610263 0.655629 0.691086 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 25, 50, 1, simple, 1225, 18, 8417771, 118186, 0.9305, 0.607367 0.602172 0.619931 0.660526 0.691086 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 25, 70, 1, simple, 1526, 17, 10265087, 118474, 0.9331, 0.613159 0.611210 0.626470 0.661142 0.694211 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 25, 90, 1, simple, 1796, 18, 11934531, 118520, 0.9354, 0.615326 0.615072 0.628261 0.661142 0.694211 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 25, 110, 1, simple, 2040, 17, 13469255, 118542, 0.9352, 0.616481 0.616442 0.628593 0.661506 0.694211 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 30, 10, 1, simple, 528, 18, 3773126, 119136, 0.895, 0.485057 0.454266 0.521945 0.610700 0.680238 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 30, 30, 1, simple, 914, 18, 6412906, 120826, 0.933, 0.591791 0.576952 0.610263 0.655629 0.691086 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 30, 50, 1, simple, 1253, 18, 8551295, 121600, 0.9343, 0.607005 0.602138 0.619931 0.660526 0.691086 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 30, 70, 1, simple, 1541, 18, 10428685, 121996, 0.9368, 0.612570 0.611210 0.626470 0.661142 0.694211 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 30, 90, 1, simple, 1816, 18, 12121000, 121904, 0.938, 0.614637 0.615069 0.628261 0.661142 0.694211 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 30, 110, 1, simple, 2070, 18, 13675738, 121936, 0.9379, 0.615775 0.616445 0.628593 0.661506 0.694211 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 35, 10, 1, simple, 538, 18, 3791497, 121884, 0.9001, 0.486830 0.454266 0.521945 0.610700 0.680238 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 35, 30, 1, simple, 924, 18, 6468420, 123004, 0.9345, 0.592156 0.576952 0.610263 0.655629 0.691086 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 35, 50, 1, simple, 1259, 18, 8633043, 123638, 0.9357, 0.606897 0.602172 0.619931 0.660526 0.691086 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 35, 70, 1, simple, 1554, 18, 10529231, 124032, 0.9384, 0.612343 0.611210 0.626470 0.661142 0.694211 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 35, 90, 1, simple, 1837, 18, 12236307, 123946, 0.9396, 0.614392 0.615069 0.628261 0.661142 0.694211 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 35, 110, 1, simple, 2091, 18, 13802769, 123956, 0.9394, 0.615484 0.616445 0.628593 0.661506 0.694211 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 40, 10, 1, simple, 540, 18, 3801599, 123288, 0.9018, 0.489071 0.454266 0.521945 0.610700 0.680238 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 40, 30, 1, simple, 933, 19, 6504113, 124078, 0.9354, 0.592940 0.576952 0.610263 0.655629 0.691086 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 40, 50, 1, simple, 1271, 19, 8687283, 124758, 0.9365, 0.607092 0.602172 0.619931 0.660526 0.691086 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 40, 70, 1, simple, 1569, 19, 10593873, 125106, 0.939, 0.612210 0.611206 0.626470 0.661142 0.694211 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 40, 90, 1, simple, 1856, 18, 12310348, 125032, 0.9403, 0.614207 0.615072 0.628261 0.661142 0.694211 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 40, 110, 1, simple, 2102, 19, 13883752, 125038, 0.9401, 0.615277 0.616445 0.628593 0.661506 0.694211 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 45, 10, 1, simple, 541, 21, 3810225, 124924, 0.9034, 0.489252 0.454266 0.521945 0.610700 0.680238 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 45, 30, 1, simple, 935, 18, 6522926, 125088, 0.9359, 0.593017 0.576952 0.610263 0.655629 0.691086 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 45, 50, 1, simple, 1259, 18, 8718549, 125736, 0.9373, 0.607067 0.602172 0.619931 0.660526 0.691086 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 45, 70, 1, simple, 1561, 19, 10632827, 126044, 0.9399, 0.612095 0.611206 0.626470 0.661142 0.694211 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 45, 90, 1, simple, 1849, 18, 12355371, 125980, 0.9413, 0.614076 0.615072 0.628261 0.661142 0.694211 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 10, 45, 110, 1, simple, 2096, 18, 13932585, 125986, 0.9411, 0.615147 0.616442 0.628593 0.661506 0.694211 0.744572 0.803413 0.785426 0.800000 nan nan nan 
5, 15, 5, 10, 1, simple, 445, 9, 3093704, 53684, 0.3777, 0.280434 0.500206 0.554581 0.612342 0.669033 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 5, 30, 1, simple, 683, 9, 4615802, 56484, 0.4461, 0.349517 0.586409 0.607820 0.647614 0.675305 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 5, 50, 1, simple, 899, 9, 5887418, 57948, 0.4928, 0.391200 0.600136 0.614319 0.649095 0.675305 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 5, 70, 1, simple, 1095, 9, 7009712, 58098, 0.5185, 0.421502 0.604885 0.616662 0.649615 0.679014 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 5, 90, 1, simple, 1261, 10, 8030616, 58744, 0.5415, 0.437482 0.606166 0.617642 0.649615 0.679014 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 5, 110, 1, simple, 1439, 9, 8980954, 58858, 0.5409, 0.451622 0.607016 0.618112 0.649979 0.679014 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 10, 10, 1, simple, 509, 13, 3617600, 85668, 0.7627, 0.423528 0.500206 0.554581 0.612342 0.669033 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 10, 30, 1, simple, 838, 14, 5787017, 90096, 0.8416, 0.570414 0.586443 0.607820 0.647614 0.675305 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 10, 50, 1, simple, 1116, 14, 7533963, 91000, 0.8589, 0.606861 0.600139 0.614319 0.649095 0.675305 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 10, 70, 1, simple, 1363, 14, 9088002, 91414, 0.861, 0.620690 0.604888 0.616662 0.649615 0.679014 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 10, 90, 1, simple, 1593, 14, 10514971, 91710, 0.8659, 0.628303 0.606166 0.617642 0.649615 0.679014 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 10, 110, 1, simple, 1823, 14, 11832994, 91916, 0.8699, 0.633082 0.607016 0.618112 0.649979 0.679014 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 15, 10, 1, simple, 538, 16, 3854398, 103408, 0.8591, 0.466685 0.500206 0.554581 0.612342 0.669033 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 15, 30, 1, simple, 900, 16, 6284028, 106646, 0.9082, 0.587503 0.586409 0.607820 0.647614 0.675305 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 15, 50, 1, simple, 1236, 17, 8261474, 107032, 0.9113, 0.610267 0.600139 0.614319 0.649095 0.675305 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 15, 70, 1, simple, 1477, 16, 10009744, 107528, 0.9144, 0.617844 0.604885 0.616662 0.649615 0.679014 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 15, 90, 1, simple, 1744, 16, 11589054, 107768, 0.9182, 0.621505 0.606166 0.617642 0.649615 0.679014 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 15, 110, 1, simple, 1980, 16, 13049906, 107836, 0.9184, 0.623574 0.607016 0.618112 0.649979 0.679014 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 20, 10, 1, simple, 548, 17, 3965079, 112308, 0.8827, 0.479306 0.500206 0.554581 0.612342 0.669033 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 20, 30, 1, simple, 933, 17, 6554268, 115068, 0.9249, 0.590079 0.586409 0.607820 0.647614 0.675305 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 20, 50, 1, simple, 1252, 17, 8647068, 115938, 0.9271, 0.608385 0.600139 0.614319 0.649095 0.675305 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 20, 70, 1, simple, 1543, 18, 10485629, 116048, 0.9283, 0.614283 0.604885 0.616662 0.649615 0.679014 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 20, 90, 1, simple, 1814, 17, 12141930, 116178, 0.9303, 0.616812 0.606169 0.617642 0.649615 0.679014 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 20, 110, 1, simple, 2068, 17, 13664976, 116236, 0.9299, 0.618429 0.607016 0.618112 0.649979 0.679014 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 25, 10, 1, simple, 562, 18, 4018958, 118058, 0.893, 0.484610 0.500204 0.554581 0.612342 0.669033 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 25, 30, 1, simple, 946, 18, 6704880, 120330, 0.9281, 0.592058 0.586443 0.607820 0.647614 0.675305 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 25, 50, 1, simple, 1277, 18, 8863952, 121046, 0.9319, 0.607437 0.600136 0.614319 0.649095 0.675305 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 25, 70, 1, simple, 1587, 18, 10752264, 121342, 0.9334, 0.613073 0.604885 0.616662 0.649615 0.679014 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 25, 90, 1, simple, 1859, 18, 12450020, 121458, 0.936, 0.615237 0.606169 0.617642 0.649615 0.679014 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 25, 110, 1, simple, 2115, 18, 14007600, 121494, 0.9358, 0.616471 0.607016 0.618112 0.649979 0.679014 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 30, 10, 1, simple, 562, 18, 4049425, 121630, 0.8986, 0.488292 0.500204 0.554581 0.612342 0.669033 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 30, 30, 1, simple, 961, 18, 6793375, 123662, 0.9331, 0.591952 0.586443 0.607820 0.647614 0.675305 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 30, 50, 1, simple, 1302, 18, 8996107, 124494, 0.9358, 0.607100 0.600136 0.614319 0.649095 0.675305 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 30, 70, 1, simple, 1602, 19, 10915386, 124856, 0.9371, 0.612505 0.604885 0.616662 0.649615 0.679014 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 30, 90, 1, simple, 1882, 19, 12637005, 124844, 0.9386, 0.614563 0.606169 0.617642 0.649615 0.679014 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 30, 110, 1, simple, 2152, 18, 14213472, 124880, 0.9385, 0.615745 0.607016 0.618112 0.649979 0.679014 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 35, 10, 1, simple, 567, 19, 4070940, 124610, 0.9035, 0.490981 0.500206 0.554581 0.612342 0.669033 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 35, 30, 1, simple, 966, 19, 6848998, 125932, 0.9353, 0.592419 0.586443 0.607820 0.647614 0.675305 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 35, 50, 1, simple, 1320, 19, 9078056, 126532, 0.9372, 0.606944 0.600136 0.614319 0.649095 0.675305 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 35, 70, 1, simple, 1624, 19, 11016164, 126900, 0.9387, 0.612270 0.604888 0.616662 0.649615 0.679014 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 35, 90, 1, simple, 1901, 19, 12752066, 126882, 0.9402, 0.614310 0.606169 0.617642 0.649615 0.679014 0.740158 0.780101 0.785426 0.800000 nan nan nan 
5, 15, 35, 110, 1, simple, 2164, 19, 14340272, 126900, 0.94, 0.615447 0.607013 0.618112 0.649979 0.679014 0.740158 0.780101 0.785426 0.800000 nan nan nan 
